u_BT,PosXRight,PosYRight,u_VSP1,Absolute Time
0.000000,0.000000,0.000000,0.000000,3568296683.570431
0.000000,0.000000,0.000000,0.000000,3568296683.580430
0.000000,0.000000,0.000000,0.000000,3568296683.590431
0.000000,0.000000,0.000000,0.000000,3568296683.600431
0.000000,0.000000,0.000000,0.000000,3568296683.610431
0.000000,0.000000,0.000000,0.000000,3568296683.620432
0.000000,0.000000,0.000000,0.000000,3568296683.630431
0.000000,0.000000,0.000000,0.000000,3568296683.640432
0.000000,0.000000,0.000000,0.000000,3568296683.650434
0.000000,0.000000,0.000000,0.000000,3568296683.660432
0.000000,0.000000,0.000000,0.000000,3568296683.670433
0.000000,0.000000,0.000000,0.000000,3568296683.680434
0.000000,0.000000,0.000000,0.000000,3568296683.690434
0.000000,0.000000,0.000000,0.000000,3568296683.700434
0.000000,0.000000,0.000000,0.000000,3568296683.710434
0.000000,0.000000,0.000000,0.000000,3568296683.720435
0.000000,0.000000,0.000000,0.000000,3568296683.730435
0.000000,0.000000,0.000000,0.000000,3568296683.740433
0.000000,0.000000,0.000000,0.000000,3568296683.750435
0.000000,0.000000,0.000000,0.000000,3568296683.760435
0.000000,0.000000,0.000000,0.000000,3568296683.770436
0.000000,0.000000,0.000000,0.000000,3568296683.780436
0.000000,0.000000,0.000000,0.000000,3568296683.790436
0.000000,0.000000,0.000000,0.000000,3568296683.800437
0.000000,0.000000,0.000000,0.000000,3568296683.810437
0.000000,0.000000,0.000000,0.000000,3568296683.820439
0.000000,0.000000,0.000000,0.000000,3568296683.830437
0.000000,0.000000,0.000000,0.000000,3568296683.840437
0.000000,0.000000,0.000000,0.000000,3568296683.850438
0.000000,0.000000,0.000000,0.000000,3568296683.860438
0.000000,0.000000,0.000000,0.000000,3568296683.870439
0.000000,0.000000,0.000000,0.000000,3568296683.880440
0.000000,0.000000,0.000000,0.000000,3568296683.890439
0.000000,0.000000,0.000000,0.000000,3568296683.900440
0.000000,0.000000,0.000000,0.000000,3568296683.910439
0.000000,0.000000,0.000000,0.000000,3568296683.920440
0.000000,0.000000,0.072146,0.000000,3568296683.930439
0.000000,0.000000,0.103092,0.061928,3568296683.940441
0.000000,0.000000,0.175237,0.088491,3568296683.950441
0.000000,0.000000,0.257729,0.150418,3568296683.960442
0.000000,0.000000,0.381451,0.221226,3568296683.970441
0.000000,0.000000,0.474227,0.327426,3568296683.980442
0.000000,0.000000,0.474227,0.407062,3568296683.990443
0.000000,0.000000,0.587634,0.407062,3568296684.000441
0.000000,0.000000,0.731956,0.504407,3568296684.010442
0.000000,0.000000,0.865993,0.628288,3568296684.020443
0.000000,0.000000,1.000000,0.743342,3568296684.030442
0.000000,0.000000,1.000000,0.858369,3568296684.040444
0.000000,0.000000,1.000000,0.858369,3568296684.050445
0.000000,0.000000,1.000000,0.858369,3568296684.060444
0.000000,0.000000,1.000000,0.858369,3568296684.070444
0.000000,0.000000,1.000000,0.858369,3568296684.080445
0.000000,0.000000,1.000000,0.858369,3568296684.090445
0.000000,0.000000,1.000000,0.858369,3568296684.100447
0.000000,0.000000,1.000000,0.858369,3568296684.110445
0.000000,0.000000,1.000000,0.858369,3568296684.120447
0.000000,0.000000,1.000000,0.858369,3568296684.130447
0.000000,0.000000,1.000000,0.858369,3568296684.140445
0.000000,0.000000,1.000000,0.858369,3568296684.150447
0.000000,0.000000,1.000000,0.858369,3568296684.160449
0.000000,0.000000,1.000000,0.858369,3568296684.170447
0.000000,0.000000,1.000000,0.858369,3568296684.180448
0.000000,0.000000,1.000000,0.858369,3568296684.190448
0.000000,0.010285,1.000000,0.858369,3568296684.200448
0.010096,0.010285,1.000000,0.858369,3568296684.210448
0.010096,0.010285,1.000000,0.858369,3568296684.220449
0.010096,0.010285,1.000000,0.858369,3568296684.230449
0.010096,0.020600,1.000000,0.858369,3568296684.240448
0.020221,0.020600,1.000000,0.858369,3568296684.250449
0.020221,0.020600,1.000000,0.858369,3568296684.260450
0.020221,0.020600,1.000000,0.858369,3568296684.270449
0.020221,0.010285,1.000000,0.858369,3568296684.280450
0.010096,0.020600,1.000000,0.858369,3568296684.290451
0.020221,0.020600,1.000000,0.858369,3568296684.300451
0.020221,0.020600,1.000000,0.858369,3568296684.310452
0.020221,0.020600,1.000000,0.858369,3568296684.320451
0.020221,0.010285,1.000000,0.858369,3568296684.330453
0.010096,0.010285,1.000000,0.858369,3568296684.340452
0.010096,0.010285,1.000000,0.858369,3568296684.350453
0.010096,0.020600,1.000000,0.858369,3568296684.360452
0.020221,0.020600,1.000000,0.858369,3568296684.370451
0.020221,0.020600,1.000000,0.858369,3568296684.380453
0.020221,0.020600,1.000000,0.858369,3568296684.390453
0.020221,0.020600,1.000000,0.858369,3568296684.400454
0.020221,0.020600,1.000000,0.858369,3568296684.410454
0.020221,0.020600,1.000000,0.858369,3568296684.420455
0.020221,0.020600,1.000000,0.858369,3568296684.430454
0.020221,0.020600,1.000000,0.858369,3568296684.440454
0.020221,0.020600,1.000000,0.858369,3568296684.450455
